79,39
29,49
95,65
49,33
2,25
31,54
97,19
3,36
77,51
27,80
73,11
47,1
10,28
75,64
27,10
65,23
53,94
31,83
91,91
23,41
71,87
86,56
8,83
1,68
75,99
38,22
91,31
13,38
60,46
79,33
40,14
11,79
96,76
35,4
85,62
76,98
57,39
96,74
44,34
77,39
27,69
71,75
31,16
27,0
16,72
18,90
36,10
15,70
49,8
71,39
65,71
9,88
76,86
58,76
0,37
99,85
68,61
29,78
10,42
33,56
61,36
43,63
53,58
9,73
30,59
84,8
40,74
47,35
81,15
46,47
92,52
59,86
92,85
92,64
91,83
4,81
11,11
20,65
51,18
13,67
19,17
58,20
30,58
4,63
55,60
9,61
85,35
77,26
63,31
83,47
91,5
98,55
87,92
84,99
1,77
11,72
63,10
57,33
45,8
57,9
